"Year","State","State ANSI","Totals","Process Market","Fresh Market","Metric","Value","CV (%)"
2021,"MARYLAND","24","","OPERATIONS WITH SALES","","",2,"(H)"
2021,"MARYLAND","24","","SALES","","$",NA,"(D)"
2021,"MARYLAND","24","","SALES","","CWT",NA,"(D)"
2021,"MASSACHUSETTS","25","OPERATIONS WITH SALES","","","",12,"79.2"
2021,"MASSACHUSETTS","25","PRODUCTION","","","CWT",251,"76.5"
2021,"MASSACHUSETTS","25","SALES","","","$",NA,"80.1"
2021,"MASSACHUSETTS","25","SALES","","","CWT",251,"76.5"
2021,"MASSACHUSETTS","25","","","OPERATIONS WITH SALES","",12,"79.2"
2021,"MASSACHUSETTS","25","","","SALES","$",NA,"80.1"
2021,"MASSACHUSETTS","25","","","SALES","CWT",251,"76.5"
2021,"MICHIGAN","26","OPERATIONS WITH SALES","","","",26,"32.5"
2021,"MICHIGAN","26","PRODUCTION","","","CWT",564,"43.9"
2021,"MICHIGAN","26","SALES","","","$",NA,"44.1"
2021,"MICHIGAN","26","SALES","","","CWT",564,"43.9"
2021,"MICHIGAN","26","","","OPERATIONS WITH SALES","",26,"32.5"
2021,"MICHIGAN","26","","","SALES","$",NA,"44.1"
2021,"MICHIGAN","26","","","SALES","CWT",564,"43.9"
2021,"MINNESOTA","27","OPERATIONS WITH SALES","","","",21,"39.5"
2021,"MINNESOTA","27","PRODUCTION","","","CWT",749,"54.0"
2021,"MINNESOTA","27","SALES","","","$",NA,"62.4"
2021,"MINNESOTA","27","SALES","","","CWT",749,"54.0"
2021,"MINNESOTA","27","","","OPERATIONS WITH SALES","",18,"43.6"
2021,"MINNESOTA","27","","","SALES","$",NA,"(D)"
2021,"MINNESOTA","27","","","SALES","CWT",659,"62.9"
2021,"MINNESOTA","27","","OPERATIONS WITH SALES","","",3,"95.4"
2021,"MINNESOTA","27","","SALES","","$",NA,"(D)"
2021,"MINNESOTA","27","","SALES","","CWT",90,"95.4"
2021,"MONTANA","30","OPERATIONS WITH SALES","","","",11,"43.6"
2021,"MONTANA","30","PRODUCTION","","","CWT",96,"73.5"
2021,"MONTANA","30","SALES","","","$",NA,"74.8"
2021,"MONTANA","30","SALES","","","CWT",96,"73.5"
2021,"MONTANA","30","","","OPERATIONS WITH SALES","",11,"43.6"
2021,"MONTANA","30","","","SALES","$",NA,"74.8"
2021,"MONTANA","30","","","SALES","CWT",96,"73.5"
2021,"NEBRASKA","31","OPERATIONS WITH SALES","","","",1,"(H)"
2021,"NEBRASKA","31","PRODUCTION","","","CWT",NA,"(D)"
2021,"NEBRASKA","31","SALES","","","$",NA,"(D)"
2021,"NEBRASKA","31","SALES","","","CWT",NA,"(D)"
2021,"NEBRASKA","31","","","OPERATIONS WITH SALES","",1,"(H)"
2021,"NEBRASKA","31","","","SALES","$",NA,"(D)"
2021,"NEBRASKA","31","","","SALES","CWT",NA,"(D)"
2021,"NEW HAMPSHIRE","33","OPERATIONS WITH SALES","","","",9,"58.7"
2021,"NEW HAMPSHIRE","33","PRODUCTION","","","CWT",132,"(H)"
2021,"NEW HAMPSHIRE","33","SALES","","","$",NA,"(H)"
2021,"NEW HAMPSHIRE","33","SALES","","","CWT",132,"(H)"
2021,"NEW HAMPSHIRE","33","","","OPERATIONS WITH SALES","",9,"58.7"
2021,"NEW HAMPSHIRE","33","","","SALES","$",NA,"(H)"
2021,"NEW HAMPSHIRE","33","","","SALES","CWT",132,"(H)"
2021,"NEW JERSEY","34","OPERATIONS WITH SALES","","","",3,"(H)"
2021,"NEW JERSEY","34","PRODUCTION","","","CWT",NA,"(D)"
2021,"NEW JERSEY","34","SALES","","","$",NA,"(H)"
2021,"NEW JERSEY","34","SALES","","","CWT",NA,"(D)"
2021,"NEW JERSEY","34","","","OPERATIONS WITH SALES","",3,"(H)"
2021,"NEW JERSEY","34","","","SALES","$",NA,"(H)"
2021,"NEW JERSEY","34","","","SALES","CWT",NA,"(D)"
2021,"NEW YORK","36","OPERATIONS WITH SALES","","","",45,"26.4"
2021,"NEW YORK","36","PRODUCTION","","","CWT",NA,"32.6"
2021,"NEW YORK","36","SALES","","","$",NA,"44.5"
2021,"NEW YORK","36","SALES","","","CWT",NA,"32.6"
2021,"NEW YORK","36","","","OPERATIONS WITH SALES","",43,"25.3"
2021,"NEW YORK","36","","","SALES","$",NA,"(D)"
2021,"NEW YORK","36","","","SALES","CWT",NA,"(D)"
2021,"NEW YORK","36","","OPERATIONS WITH SALES","","",2,"94.9"
2021,"NEW YORK","36","","SALES","","$",NA,"(D)"
2021,"NEW YORK","36","","SALES","","CWT",NA,"(D)"
2021,"NORTH CAROLINA","37","OPERATIONS WITH SALES","","","",4,"68.3"
2021,"NORTH CAROLINA","37","PRODUCTION","","","CWT",734,"89.2"
2021,"NORTH CAROLINA","37","SALES","","","$",NA,"(H)"
2021,"NORTH CAROLINA","37","SALES","","","CWT",734,"89.2"
2021,"NORTH CAROLINA","37","","","OPERATIONS WITH SALES","",4,"68.3"
2021,"NORTH CAROLINA","37","","","SALES","$",NA,"(H)"
2021,"NORTH CAROLINA","37","","","SALES","CWT",734,"89.2"
2021,"OHIO","39","OPERATIONS WITH SALES","","","",9,"72.1"
2021,"OHIO","39","PRODUCTION","","","CWT",360,"68.4"
2021,"OHIO","39","SALES","","","$",NA,"69.2"
2021,"OHIO","39","SALES","","","CWT",360,"68.4"
2021,"OHIO","39","","","OPERATIONS WITH SALES","",9,"72.1"
2021,"OHIO","39","","","SALES","$",NA,"69.2"
2021,"OHIO","39","","","SALES","CWT",360,"68.4"
2021,"OKLAHOMA","40","OPERATIONS WITH SALES","","","",4,"70.4"
2021,"OKLAHOMA","40","PRODUCTION","","","CWT",NA,"69.9"
2021,"OKLAHOMA","40","SALES","","","$",NA,"(D)"
2021,"OKLAHOMA","40","SALES","","","CWT",NA,"69.9"
2021,"OKLAHOMA","40","","","OPERATIONS WITH SALES","",4,"70.4"
2021,"OKLAHOMA","40","","","SALES","$",NA,"(D)"
2021,"OKLAHOMA","40","","","SALES","CWT",NA,"69.9"
2021,"OREGON","41","OPERATIONS WITH SALES","","","",26,"54.2"
2021,"OREGON","41","PRODUCTION","","","CWT",NA,"84.2"
2021,"OREGON","41","SALES","","","$",NA,"(H)"
2021,"OREGON","41","SALES","","","CWT",NA,"84.2"
2021,"OREGON","41","","","OPERATIONS WITH SALES","",26,"54.2"
2021,"OREGON","41","","","SALES","$",NA,"(H)"
2021,"OREGON","41","","","SALES","CWT",NA,"84.2"
2021,"PENNSYLVANIA","42","OPERATIONS WITH SALES","","","",27,"48.1"
2021,"PENNSYLVANIA","42","PRODUCTION","","","CWT",522,"49.0"
2021,"PENNSYLVANIA","42","SALES","","","$",NA,"43.7"
2021,"PENNSYLVANIA","42","SALES","","","CWT",522,"49.0"
2021,"PENNSYLVANIA","42","","","OPERATIONS WITH SALES","",27,"48.1"
2021,"PENNSYLVANIA","42","","","SALES","$",NA,"43.7"
2021,"PENNSYLVANIA","42","","","SALES","CWT",522,"49.0"
2021,"RHODE ISLAND","44","OPERATIONS WITH SALES","","","",2,"(H)"
2021,"RHODE ISLAND","44","PRODUCTION","","","CWT",NA,"(D)"
2021,"RHODE ISLAND","44","SALES","","","$",NA,"(D)"
2021,"RHODE ISLAND","44","SALES","","","CWT",NA,"(D)"
2021,"RHODE ISLAND","44","","","OPERATIONS WITH SALES","",2,"(H)"
2021,"RHODE ISLAND","44","","","SALES","$",NA,"(D)"
2021,"RHODE ISLAND","44","","","SALES","CWT",NA,"(D)"
2021,"SOUTH CAROLINA","45","OPERATIONS WITH SALES","","","",2,"(H)"
2021,"SOUTH CAROLINA","45","PRODUCTION","","","CWT",NA,"(D)"
2021,"SOUTH CAROLINA","45","SALES","","","$",NA,"(D)"
2021,"SOUTH CAROLINA","45","SALES","","","CWT",NA,"(D)"
2021,"SOUTH CAROLINA","45","","","OPERATIONS WITH SALES","",2,"(H)"
2021,"SOUTH CAROLINA","45","","","SALES","$",NA,"(D)"
2021,"SOUTH CAROLINA","45","","","SALES","CWT",NA,"(D)"
2021,"SOUTH DAKOTA","46","OPERATIONS WITH SALES","","","",1,"(H)"
2021,"SOUTH DAKOTA","46","PRODUCTION","","","CWT",NA,"(D)"
2021,"SOUTH DAKOTA","46","SALES","","","$",NA,"(D)"
2021,"SOUTH DAKOTA","46","SALES","","","CWT",NA,"(D)"
2021,"SOUTH DAKOTA","46","","","OPERATIONS WITH SALES","",1,"(H)"
2021,"SOUTH DAKOTA","46","","","SALES","$",NA,"(D)"
2021,"SOUTH DAKOTA","46","","","SALES","CWT",NA,"(D)"
2021,"TENNESSEE","47","OPERATIONS WITH SALES","","","",1,"(H)"
